url,title,paragraph,heading_count,link_count,table_count,html_source
https://www.ibm.com/topics/machine-learning,what is machine learning? | ibm,"machine learning is the subset of artificial intelligence (ai) focused on algorithms that can “learn” the patterns of training data and, subsequently, make accurateinferencesabout new data. this pattern recognition ability enables machine learning models to make decisions or predictions without explicit, hard-coded instructions.",27,298,0,storage\raw_html\503f88a0-226c-444d-bef2-c928a2d1ee05.html
https://www.ibm.com/topics/machine-learning,what is machine learning? | ibm,"machine learning has come to dominate the field of ai: it provides the backbone of most modern ai systems, fromforecastingmodels to autonomous vehicles tolarge language models (llms)and othergenerative aitools.",27,298,0,storage\raw_html\503f88a0-226c-444d-bef2-c928a2d1ee05.html
https://www.ibm.com/topics/machine-learning,what is machine learning? | ibm,the central premise of machine learning (ml) is that if you optimize a model’s performance on a dataset of tasks that adequately resemble the real-world problems it will be used for—through a process calledmodel training—the model can make accurate predictions on the new data it sees in its ultimate use case.,27,298,0,storage\raw_html\503f88a0-226c-444d-bef2-c928a2d1ee05.html
https://www.ibm.com/topics/machine-learning,what is machine learning? | ibm,"training itself is simply a means to an end: generalization, the translation of strong performance on training data to useful results in real-world scenarios, is the fundamental goal of machine learning. in essence, a trained model is applying patterns it learned from training data to infer the correct output for a real-world task: the deployment of anai modelis therefore calledai inference.",27,298,0,storage\raw_html\503f88a0-226c-444d-bef2-c928a2d1ee05.html
https://www.ibm.com/topics/machine-learning,what is machine learning? | ibm,"deep learning, the subset of machine learning driven by large—or rather, “deep”—artificial neural networks, has emerged over the past few decades as the state-of-the-art ai model architecture across nearly every domain in which ai is used. in contrast to the explicitly defined algorithms of traditional machine learning, deep learning relies on distributed “networks” of mathematical operations that provide an unparalleled ability to learn the intricate nuances of very complex data. because deep learning requires very large amounts of data and computational resources, its advent has coincided with the escalated importance“big data”andgraphics processing units (gpus).",27,298,0,storage\raw_html\503f88a0-226c-444d-bef2-c928a2d1ee05.html
https://www.ibm.com/topics/machine-learning,what is machine learning? | ibm,"the discipline of machine learning is closely intertwined with that ofdata science. in a sense, machine learning can be understood as a collection of algorithms and techniques to automate data analysis and (more importantly) apply learnings from that analysis to the autonomous execution of relevant tasks.",27,298,0,storage\raw_html\503f88a0-226c-444d-bef2-c928a2d1ee05.html
https://www.ibm.com/topics/machine-learning,what is machine learning? | ibm,"the origin of the term (albeit not the core concept itself) is often attributed to arthur l. samuel’s 1959 article in ibm journal, “some studies in machine learning using the game of checkers.” in the paper’s introduction, samuel neatly articulates machine learning’s ideal outcome: “a computer can be programmed so that it will learn to play a better game of checkers than can be played by the person who wrote the program.”1",27,298,0,storage\raw_html\503f88a0-226c-444d-bef2-c928a2d1ee05.html
https://www.ibm.com/topics/machine-learning,what is machine learning? | ibm,"though “machine learning” and “artificial intelligence” are often used interchangeably, they are not quite synonymous. in short:all machine learning is ai, but not all ai is machine learning.",27,298,0,storage\raw_html\503f88a0-226c-444d-bef2-c928a2d1ee05.html
https://www.ibm.com/topics/machine-learning,what is machine learning? | ibm,"in the popular imagination, “ai” is usually associated with science fiction—typically through depictions of what’s more properly calledartificial general intelligence (agi), like hal 9000 in2001: a space odysseyor ava inex machina—or, more recently, withgenerativeai. but “artificial intelligence” is a catch-all term for any program that can use information to make decisions or predictions without active human involvement.",27,298,0,storage\raw_html\503f88a0-226c-444d-bef2-c928a2d1ee05.html
https://www.ibm.com/topics/machine-learning,what is machine learning? | ibm,"the most elementary ai systems are a series of if-then-else statements, with rules and logic programmed explicitly by a data scientist.  at the simplest level, even a rudimentary thermostat is a rules-based ai system: when programmed with simple rules like",27,298,0,storage\raw_html\503f88a0-226c-444d-bef2-c928a2d1ee05.html
https://www.ibm.com/topics/machine-learning,what is machine learning? | ibm,"if room_temperature < 67, then turn_on_heater",27,298,0,storage\raw_html\503f88a0-226c-444d-bef2-c928a2d1ee05.html
https://www.ibm.com/topics/machine-learning,what is machine learning? | ibm,and,27,298,0,storage\raw_html\503f88a0-226c-444d-bef2-c928a2d1ee05.html
